date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:04	281/281	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2011:06:04%20GMT	http://localhost/robots.txt		(from )
14:06:07	144936/144936	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2011:06:04%20GMT	http://localhost/ngemlak/	C:/My%20Web%20Sites/ng/localhost/ngemlak/index.html	(from )
14:06:08	46256/46256	---M--	200	added ('OK')	text/css	etag:%22b4b0-5e75e9fa61be6%22	http://localhost/ngemlak/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.9.1	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/themes/astra/assets/css/minified/frontend.mina560.css	(from http://localhost/ngemlak/)
14:06:09	1688/1688	---M--	200	added ('OK')	application/rss+xml	etag:%22f7bc2a4fe39840280d14460d77276730%22	http://localhost/ngemlak/feed/	C:/My%20Web%20Sites/ng/localhost/ngemlak/feed/index.html	(from http://localhost/ngemlak/)
14:06:09	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5e75e9fa76bd8%22	http://localhost/ngemlak/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/ngemlak/)
14:06:09	1665/1665	---M--	200	added ('OK')	application/rss+xml	etag:%22f7bc2a4fe39840280d14460d77276730%22	http://localhost/ngemlak/comments/feed/	C:/My%20Web%20Sites/ng/localhost/ngemlak/comments/feed/index.html	(from http://localhost/ngemlak/)
14:06:09	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-5e75e9fa63357%22	http://localhost/ngemlak/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.9.1	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/themes/astra/assets/css/minified/menu-animation.mina560.css	(from http://localhost/ngemlak/)
14:06:09	88932/88932	---M--	200	added ('OK')	text/css	etag:%2215b64-5e75e83707fe7%22	http://localhost/ngemlak/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-includes/css/dist/block-library/style.min37ad.css	(from http://localhost/ngemlak/)
14:06:11	19279/19279	---M--	200	added ('OK')	text/css	etag:%224b4f-5e75e9772d9dc%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from http://localhost/ngemlak/)
14:06:11	108424/108424	---M--	200	added ('OK')	text/css	etag:%221a788-5e75e976ea3bc%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.7.2	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/css/frontend-lite.minf3df.css	(from http://localhost/ngemlak/)
14:06:13	1249/1249	---M--	200	added ('OK')	text/css	etag:%224e1-5e75ea4581c38%22	http://localhost/ngemlak/wp-content/uploads/elementor/css/post-682.css?ver=1661768553	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/uploads/elementor/css/post-682658c.css	(from http://localhost/ngemlak/)
14:06:13	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-5e75e97733b83%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.7.2	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minf3df.css	(from http://localhost/ngemlak/)
14:06:15	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-5e75e97736a64%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.7.2	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minf3df.css	(from http://localhost/ngemlak/)
14:06:15	32523/32523	---M--	200	added ('OK')	text/css	etag:%227f0b-5e75ec468191d%22	http://localhost/ngemlak/wp-content/uploads/elementor/css/post-1215.css?ver=1661769091	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/uploads/elementor/css/post-12158ce6.css	(from http://localhost/ngemlak/)
14:06:17	57912/57912	---M--	200	added ('OK')	text/css	etag:%22e238-5e75e97734f0d%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from http://localhost/ngemlak/)
14:06:19	669/669	---M--	200	added ('OK')	text/css	etag:%2229d-5e75e97735ac4%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from http://localhost/ngemlak/)
14:06:19	677/677	---M--	200	added ('OK')	text/css	etag:%222a5-5e75e977356db%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from http://localhost/ngemlak/)
14:06:19	15055/15055	---M--	200	added ('OK')	application/javascript	etag:%223acf-5e75e9773b49b%22	http://localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.7.2	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.minf3df.js	(from http://localhost/ngemlak/)
14:06:22	810/810	---M--	200	added ('OK')	text/xml	date:Mon,%2029%20Aug%202022%2011:06:21%20GMT	http://localhost/ngemlak/xmlrpc.php?rsd	C:/My%20Web%20Sites/ng/localhost/ngemlak/xmlrpc0db0.php	(from http://localhost/ngemlak/)
14:06:22	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5e75e831cf641%22	http://localhost/ngemlak/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-includes/wlwmanifest.xml	(from http://localhost/ngemlak/)
14:06:23	2309/2309	---M--	200	added ('OK')	application/json	date:Mon,%2029%20Aug%202022%2011:06:22%20GMT	http://localhost/ngemlak/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fngemlak%2F	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-json/oembed/1.0/embed8dd4.json	(from http://localhost/ngemlak/)
14:06:23	2380/2380	---M--	200	added ('OK')	text/xml	date:Mon,%2029%20Aug%202022%2011:06:22%20GMT	http://localhost/ngemlak/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fngemlak%2F&format=xml	C:/My%20Web%20Sites/ng/localhost/ngemlak/wp-json/oembed/1.0/embedaec0	(from http://localhost/ngemlak/)
